STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;eor
        555;19310101;    5;  14.2;   1;-999;eor
        555;19310102;    5;   0.4;   1;-999;eor
        555;19310103;    5;  11.7;   8;-999;eor
        555;19310104;    5;   0.8;   1;-999;eor
        555;19310105;    5;   3.4;   1;-999;eor
        555;19310106;    5;   0.0;   7;-999;eor
        555;19310107;    5;   0.1;   7;-999;eor
        555;19310108;    5;   0.1;   7;-999;eor
        555;19310109;    5;   0.0;   0;-999;eor
        555;19310110;    5;   0.0;   0;-999;eor
        555;19310111;    5;   1.1;   1;-999;eor
        555;19310112;    5;   6.3;   8;-999;eor
        555;19310113;    5;   5.2;   8;-999;eor
        555;19310114;    5;   0.0;   0;-999;eor
        555;19310115;    5;   1.6;   8;-999;eor
        555;19310116;    5;  12.6;   1;-999;eor
        555;19310117;    5;   4.3;   1;-999;eor
        555;19310118;    5;   1.0;   8;-999;eor
        555;19310119;    5;   4.5;   8;-999;eor
        555;19310120;    5;   0.8;   1;-999;eor
        555;19310121;    5;   0.0;   0;-999;eor
        555;19310122;    5;   0.0;   1;-999;eor
        555;19310123;    5;  11.5;   1;-999;eor
        555;19310124;    5;   8.1;   1;-999;eor
        555;19310125;    5;   2.3;   1;-999;eor
        555;19310126;    5;   2.0;   8;-999;eor
        555;19310127;    5;   1.3;   8;-999;eor
        555;19310128;    5;   4.2;   8;-999;eor
        555;19310129;    5;   4.0;   8;-999;eor
        555;19310130;    5;   3.3;   1;-999;eor
        555;19310131;    5;   0.0;   0;-999;eor
        555;19310201;    5;   0.0;   0;-999;eor
        555;19310202;    5;   6.1;   1;-999;eor
        555;19310203;    5;   0.4;   8;-999;eor
        555;19310204;    5;   0.5;   7;-999;eor
        555;19310205;    5;   1.2;   7;-999;eor
        555;19310206;    5;   0.0;   0;-999;eor
        555;19310207;    5;   0.0;   0;-999;eor
        555;19310208;    5;   0.0;   0;-999;eor
        555;19310209;    5;   0.0;   0;-999;eor
        555;19310210;    5;   3.3;   1;-999;eor
        555;19310211;    5;  12.8;   8;-999;eor
        555;19310212;    5;   5.1;   8;-999;eor
        555;19310213;    5;   3.3;   7;-999;eor
        555;19310214;    5;   0.5;   7;-999;eor
        555;19310215;    5;   0.1;   1;-999;eor
        555;19310216;    5;   2.3;   1;-999;eor
        555;19310217;    5;   3.7;   8;-999;eor
        555;19310218;    5;   2.9;   7;-999;eor
        555;19310219;    5;   0.0;   0;-999;eor
        555;19310220;    5;   0.0;   0;-999;eor
        555;19310221;    5;   3.3;   8;-999;eor
        555;19310222;    5;   0.0;   0;-999;eor
        555;19310223;    5;   0.0;   0;-999;eor
        555;19310224;    5;   0.0;   1;-999;eor
        555;19310225;    5;   5.3;   1;-999;eor
        555;19310226;    5;   7.2;   1;-999;eor
        555;19310227;    5;   2.4;   1;-999;eor
        555;19310228;    5;  15.5;   8;-999;eor
        555;19310301;    5;   1.0;   7;-999;eor
        555;19310302;    5;   0.0;   0;-999;eor
        555;19310303;    5;   0.0;   0;-999;eor
        555;19310304;    5;   0.0;   0;-999;eor
        555;19310305;    5;   0.0;   0;-999;eor
        555;19310306;    5;   0.0;   7;-999;eor
        555;19310307;    5;   0.0;   0;-999;eor
        555;19310308;    5;   0.0;   7;-999;eor
        555;19310309;    5;   2.2;   7;-999;eor
        555;19310310;    5;   1.2;   7;-999;eor
        555;19310311;    5;   4.6;   7;-999;eor
        555;19310312;    5;   1.1;   7;-999;eor
        555;19310313;    5;   0.0;   0;-999;eor
        555;19310314;    5;   0.0;   0;-999;eor
        555;19310315;    5;   0.0;   0;-999;eor
        555;19310316;    5;   0.0;   0;-999;eor
        555;19310317;    5;   0.0;   0;-999;eor
        555;19310318;    5;   0.0;   0;-999;eor
        555;19310319;    5;   0.0;   0;-999;eor
        555;19310320;    5;   0.0;   0;-999;eor
        555;19310321;    5;   7.0;   1;-999;eor
        555;19310322;    5;   3.3;   1;-999;eor
        555;19310323;    5;   2.7;   1;-999;eor
        555;19310324;    5;   0.0;   0;-999;eor
        555;19310325;    5;   0.0;   0;-999;eor
        555;19310326;    5;   0.0;   0;-999;eor
        555;19310327;    5;   0.0;   0;-999;eor
        555;19310328;    5;   0.0;   1;-999;eor
        555;19310329;    5;   0.0;   0;-999;eor
        555;19310330;    5;   0.0;   0;-999;eor
        555;19310331;    5;   0.0;   0;-999;eor
        555;19310401;    5;   0.0;   0;-999;eor
        555;19310402;    5;   0.0;   0;-999;eor
        555;19310403;    5;   0.0;   0;-999;eor
        555;19310404;    5;   4.8;   1;-999;eor
        555;19310405;    5;  12.2;   1;-999;eor
        555;19310406;    5;   1.3;   1;-999;eor
        555;19310407;    5;   0.0;   0;-999;eor
        555;19310408;    5;   0.0;   0;-999;eor
        555;19310409;    5;   1.8;   1;-999;eor
        555;19310410;    5;   0.0;   0;-999;eor
        555;19310411;    5;   0.0;   0;-999;eor
        555;19310412;    5;   0.7;   1;-999;eor
        555;19310413;    5;   0.1;   1;-999;eor
        555;19310414;    5;   3.1;   1;-999;eor
        555;19310415;    5;   0.0;   0;-999;eor
        555;19310416;    5;   3.0;   1;-999;eor
        555;19310417;    5;   8.9;   1;-999;eor
        555;19310418;    5;   0.4;   1;-999;eor
        555;19310419;    5;   0.3;   1;-999;eor
        555;19310420;    5;   0.0;   0;-999;eor
        555;19310421;    5;   0.0;   0;-999;eor
        555;19310422;    5;   4.4;   1;-999;eor
        555;19310423;    5;   0.1;   1;-999;eor
        555;19310424;    5;   0.0;   1;-999;eor
        555;19310425;    5;   6.3;   1;-999;eor
        555;19310426;    5;   4.3;   1;-999;eor
        555;19310427;    5;   9.5;   1;-999;eor
        555;19310428;    5;   9.8;   1;-999;eor
        555;19310429;    5;   4.1;   1;-999;eor
        555;19310430;    5;   0.0;   1;-999;eor
        555;19310501;    5;   0.0;   0;-999;eor
        555;19310502;    5;   0.0;   0;-999;eor
        555;19310503;    5;   0.4;   1;-999;eor
        555;19310504;    5;   0.0;   0;-999;eor
        555;19310505;    5;   0.0;   0;-999;eor
        555;19310506;    5;   3.8;   1;-999;eor
        555;19310507;    5;  46.2;   1;-999;eor
        555;19310508;    5;   0.7;   1;-999;eor
        555;19310509;    5;   0.0;   1;-999;eor
        555;19310510;    5;   0.0;   0;-999;eor
        555;19310511;    5;   0.0;   0;-999;eor
        555;19310512;    5;   0.0;   0;-999;eor
        555;19310513;    5;   0.0;   0;-999;eor
        555;19310514;    5;   0.0;   0;-999;eor
        555;19310515;    5;  18.7;   1;-999;eor
        555;19310516;    5;   0.0;   0;-999;eor
        555;19310517;    5;   0.7;   1;-999;eor
        555;19310518;    5;   0.0;   0;-999;eor
        555;19310519;    5;   0.0;   0;-999;eor
        555;19310520;    5;   0.0;   0;-999;eor
        555;19310521;    5;   0.0;   0;-999;eor
        555;19310522;    5;   0.7;   1;-999;eor
        555;19310523;    5;   0.0;   0;-999;eor
        555;19310524;    5;   0.0;   1;-999;eor
        555;19310525;    5;   0.0;   0;-999;eor
        555;19310526;    5;   0.0;   1;-999;eor
        555;19310527;    5;   0.0;   1;-999;eor
        555;19310528;    5;  11.1;   1;-999;eor
        555;19310529;    5;   4.2;   1;-999;eor
        555;19310530;    5;   8.7;   1;-999;eor
        555;19310531;    5;   3.8;   1;-999;eor
        555;19310601;    5;   1.9;   1;-999;eor
        555;19310602;    5;   0.0;   1;-999;eor
        555;19310603;    5;   0.4;   1;-999;eor
        555;19310604;    5;   0.0;   0;-999;eor
        555;19310605;    5;   3.9;   1;-999;eor
        555;19310606;    5;  14.2;   1;-999;eor
        555;19310607;    5;   9.1;   1;-999;eor
        555;19310608;    5;   9.0;   1;-999;eor
        555;19310609;    5;   9.4;   1;-999;eor
        555;19310610;    5;   6.1;   1;-999;eor
        555;19310611;    5;   0.0;   1;-999;eor
        555;19310612;    5;   0.0;   1;-999;eor
        555;19310613;    5;   0.0;   0;-999;eor
        555;19310614;    5;   0.7;   1;-999;eor
        555;19310615;    5;   0.0;   0;-999;eor
        555;19310616;    5;   0.0;   0;-999;eor
        555;19310617;    5;   0.8;   1;-999;eor
        555;19310618;    5;   2.3;   1;-999;eor
