STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_6;MO_NSH;MO_RR;MO_SH_S;MX_RS;eor
        555;18910101;18910131;    5;   -999;    61.0;-999;-999;eor
        555;18910201;18910228;    5;   -999;     9.0;-999;-999;eor
        555;18910301;18910331;    5;   -999;   105.0;-999;-999;eor
        555;18910401;18910430;    5;   -999;    64.0;-999;-999;eor
        555;18910501;18910531;    5;   -999;    61.0;-999;-999;eor
        555;18910601;18910630;    5;   -999;   142.0;-999;-999;eor
        555;18910701;18910731;    5;   -999;   117.0;-999;-999;eor
        555;18910801;18910831;    5;   -999;    54.0;-999;-999;eor
        555;18910901;18910930;    5;   -999;    20.0;-999;-999;eor
        555;18911001;18911031;    5;   -999;    38.0;-999;-999;eor
        555;18911101;18911130;    5;   -999;    20.0;-999;-999;eor
        555;18911201;18911231;    5;   -999;   104.0;-999;-999;eor
        555;18920101;18920131;    5;   -999;    67.0;-999;-999;eor
        555;18920201;18920229;    5;   -999;    52.0;-999;-999;eor
        555;18920301;18920331;    5;   -999;    29.0;-999;-999;eor
        555;18920401;18920430;    5;   -999;    24.0;-999;-999;eor
        555;18920501;18920531;    5;   -999;    39.0;-999;-999;eor
        555;18920601;18920630;    5;   -999;    78.0;-999;-999;eor
        555;18920701;18920731;    5;   -999;    50.0;-999;-999;eor
        555;18920801;18920831;    5;   -999;    60.0;-999;-999;eor
        555;18920901;18920930;    5;   -999;   130.0;-999;-999;eor
        555;18921001;18921031;    5;   -999;    58.0;-999;-999;eor
        555;18921101;18921130;    5;   -999;    41.0;-999;-999;eor
        555;18921201;18921231;    5;   -999;    51.0;-999;-999;eor
        555;18930101;18930131;    5;   -999;    36.0;-999;-999;eor
        555;18930201;18930228;    5;   -999;   107.0;-999;-999;eor
        555;18930301;18930331;    5;   -999;    33.0;-999;-999;eor
        555;18930401;18930430;    5;   -999;     3.0;-999;-999;eor
        555;18930501;18930531;    5;   -999;    32.0;-999;-999;eor
        555;18930601;18930630;    5;   -999;    31.0;-999;-999;eor
        555;18930701;18930731;    5;   -999;   108.0;-999;-999;eor
        555;18930801;18930831;    5;   -999;    54.0;-999;-999;eor
        555;18930901;18930930;    5;   -999;    77.0;-999;-999;eor
        555;18931001;18931031;    5;   -999;    97.0;-999;-999;eor
        555;18931101;18931130;    5;   -999;    91.0;-999;-999;eor
        555;18931201;18931231;    5;   -999;    33.0;-999;-999;eor
        555;18940101;18940131;    5;   -999;    51.0;-999;-999;eor
        555;18940201;18940228;    5;   -999;    86.0;-999;-999;eor
        555;18940301;18940331;    5;   -999;    39.0;-999;-999;eor
        555;18940401;18940430;    5;   -999;    54.0;-999;-999;eor
        555;18940501;18940531;    5;   -999;    28.0;-999;-999;eor
        555;18940601;18940630;    5;   -999;   102.0;-999;-999;eor
        555;18940701;18940731;    5;   -999;   127.0;-999;-999;eor
        555;18940801;18940831;    5;   -999;   147.0;-999;-999;eor
        555;18940901;18940930;    5;   -999;    88.0;-999;-999;eor
        555;18941001;18941031;    5;   -999;   111.0;-999;-999;eor
        555;18941101;18941130;    5;   -999;    43.0;-999;-999;eor
        555;18941201;18941231;    5;   -999;    61.0;-999;-999;eor
